,GEOID,stateID,countyID,population_size,age2034,age65up,black,hispanic,asian,white,pct_college_degree_higher,pct_college_grad_student,hhincome,pct_male,pct_female,poverty,mean_commute_time,pct_english_only,pct_foreign_born,median_rent
871,25021400100,25,21,5304,13,16.6,1.7,5304,12.2,67.3,82.1,71.6,114716,52.8,47.2,15.5,26,64.7,27.1,1882
872,25021400200,25,21,6243,21.3,10.6,3.2,6243,27.8,58.9,89.4,69.3,71013,50.6,49.4,27.8,27.9,62.6,34.7,2080
873,25021400300,25,21,4397,17.1,12.9,1.1,4397,15.6,72.6,82.4,46.8,132500,46.2,53.8,9.7,31.3,72.3,25.6,2158
874,25021400400,25,21,5747,10.1,18.2,0.7,5747,11.8,80.6,84.7,41.9,100368,37.1,62.9,8.9,30.6,65.5,24,2002
875,25021400500,25,21,5208,6,12.9,0.8,5208,9.8,80.3,83.7,32.3,127096,45,55,8,33.2,73.2,25.4,2318
876,25021400600,25,21,5300,10.4,10.2,3.6,5300,13.7,73.6,85.9,41.9,110875,47,53,5.2,31,70.4,27.4,2346
877,25021400700,25,21,3304,8.2,10.5,1.1,3304,15.9,74.5,85.4,37.9,141250,48.5,51.5,7.9,31.2,76.1,19.3,2345
878,25021400800,25,21,5507,5.8,18.9,2,5507,19.2,72,80,50.1,97674,50.5,49.5,8.7,26.9,63.1,36.7,2156
879,25021400900,25,21,4171,6.8,19.1,7.8,4171,21.7,62,72.1,33.3,73235,42.6,57.4,15.5,29.8,63.9,35.4,2078
880,25021401000,25,21,3239,9,15.1,7.2,3239,14.9,64.1,78.9,28.7,98333,44.5,55.5,13.4,27.9,75.1,21.9,1716
881,25021401100,25,21,4123,5.6,18.3,2.6,4123,10.6,78.2,83.8,26.8,162348,49.2,50.8,5.5,26.6,76.4,16.9,1304
882,25021401200,25,21,6703,5.7,21.5,5.7,6703,13.3,72.6,84.5,32.7,143750,45.9,54.1,6.9,29.9,64.6,27,2271
883,25021402101,25,21,3572,6,20,7,3572,4.1,82.1,47.6,32.1,88272,50.7,49.3,6.2,27.3,78.3,18.1,1265
