,year,msacode,msatitle,hhinc_10prct,hhinc_20prct,hhinc_50prct,hhinc_80prct,hhinc_90prct,hhinc_99prct,gini,poverty_rate,tot_pop,black_alonerate,hispanic_anyrate,asian_alonerate,gdp_percap,bachelor_prct,unemp_rate
23,2005.0,13380,"Bellingham, WA",12161.03172,21291.094559999998,52473.74632,99467.65011,133771.3489,286154.2356,0.42697912,0.139,185450.0,0.009236991,0.05788083,0.031437045,39283.203,32.2,0.05266084
24,2005.0,13460,"Bend-Redmond, OR",18058.85445,30402.5793,60805.15859,103368.3397,132555.2457,370394.2182,0.39895192,0.087,140567.0,0.007690283000000001,0.051690652999999996,0.009618189000000001,31149.814,29.1,0.057451833
25,2005.0,13740,"Billings, MT",13012.30394,18450.263469999998,51208.753339999996,93101.66178,121610.3172,264455.6776,0.42027113,0.12904806,148558.0,0.005923611999999999,0.037628401,0.006199599,35798.098,27.2,0.035608203
26,2005.0,13780,"Binghamton, NY",15809.341230000002,24020.883840000002,53022.098289999994,101024.1227,139251.0624,330715.4923,0.41941949999999995,0.14592070000000001,252088.0,0.030739266,0.01792628,0.022063724,24888.27,24.8,0.048475900999999995
27,2005.0,13820,"Birmingham-Hoover, AL",12769.0833,21768.24678,53751.7602,107868.3513,145932.3806,407513.1879,0.46764892,0.13858455,1086318.0,0.271712335,0.025070007000000002,0.009023141,37049.266,25.9,0.041090468
28,2005.0,13980,"Blacksburg-Christiansburg-Radford, VA",8755.942837,16295.7825,44995.81736,89018.75218,110294.7042,256521.5816,0.4427858,0.18929352,170990.0,0.035505,0.01104743,0.02583192,26169.693,32.3,0.04050651
29,2005.0,14020,"Bloomington, IN",8144.11062,17585.392359999998,42147.451030000004,97288.25375,132176.4899,407876.2303,0.48929295,0.20765218,150096.0,0.016429485,0.016376186,0.034984277,24919.678,29.3,0.050595314
30,2005.0,14260,"Boise City, ID",16736.37261,29186.47612,60805.15859,104584.8728,141897.6451,328618.4546,0.40309602,0.11673598,546980.0,0.00593806,0.09886284699999999,0.01726937,35388.957,26.5,0.03674922
31,2005.0,14460,"Boston-Cambridge-Newton, MA-NH",15687.730919999998,30402.5793,77119.31776,147391.7044,200657.0234,521442.75899999996,0.44987586,0.09628832,4418046.0,0.062067030999999995,0.072639126,0.055524094,56384.492,40.6,0.045195818
32,2005.0,14740,"Bremerton-Silverdale, WA",18241.547580000002,30558.51585,64205.16525,115529.8013,150796.7933,397869.9995,0.40618026,0.09,239806.0,0.022042818,0.044352518,0.043218268,19539.218999999997,27.1,0.05342192900000001
33,2005.0,14860,"Bridgeport-Stamford-Norwalk, CT",19457.65075,36483.095160000004,91207.73789,194576.5075,315216.5784,980084.9228,0.53176945,0.073,897653.0,0.098963631,0.139187414,0.039177722000000005,74576.62,42.9,0.043890810999999995
34,2005.0,15180,"Brownsville-Harlingen, TX",7296.619031,12846.07685,33118.26348,69083.8383,100110.3285,230281.8033,0.47120875,0.4,373429.0,0.004177501,0.863872383,0.0049996120000000005,14382.515,13.6,0.076131452
35,2005.0,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",12404.25235,21403.41582,51076.33322,100184.7793,133771.3489,310920.2626,0.44367748,0.12803575,1148563.0,0.114828703,0.029864274,0.016747883999999998,33094.566,25.1,0.052501075
36,2005.0,15500,"Burlington, NC",10070.98322,19944.09202,50227.21976,85227.28995,120121.535,348852.5265,0.43586466,0.125,139311.0,0.180351875,0.09937478,0.011413313000000001,29301.232000000004,20.0,0.060078590999999994
37,2005.0,15540,"Burlington-South Burlington, VT",15124.24363,28402.4306,66021.25517,115529.8013,140839.945,233791.8403,0.37728223,0.103276886,206637.0,0.008270541999999999,0.010065961,0.016289435,39295.41,39.2,0.033094873
38,2005.0,15940,"Canton-Massillon, OH",12917.871309999999,21889.85709,51816.80493,96785.45036,129820.5277,400728.7323,0.44535324,0.12043119999999999,405168.0,0.06399074,0.009267761,0.005666785,29282.105,18.7,0.065900645
39,2005.0,15980,"Cape Coral-Fort Myers, FL",17680.63255,29186.47612,58372.95225,109449.2855,148364.587,486015.774,0.43900818,0.095,555029.0,0.07038371,0.139479198,0.011862443,34136.215,23.7,0.032190415
40,2005.0,16580,"Champaign-Urbana, IL",9761.131721,19457.65075,50619.07842,103368.7696,133312.3902,272810.0228,0.45031416,0.16287829,221400.0,0.083753388,0.029738031,0.056454381,26987.158,38.2,0.041351432
41,2005.0,16700,"Charleston-North Charleston, SC",13133.91426,24322.06344,55454.304639999995,104762.3988,145932.3806,438365.5101,0.45434055,0.14147468,598313.0,0.286229783,0.028216001,0.016837341000000002,30569.757999999998,28.6,0.05374053
42,2005.0,16740,"Charlotte-Concord-Gastonia, NC-SC",15386.88891,25902.99756,58859.393520000005,111881.4918,155661.206,420840.5731,0.4505282,0.12123407,1934168.0,0.175626936,0.058235376,0.019328724,46981.03,30.3,0.053887577
43,2005.0,16820,"Charlottesville, VA",15737.370680000002,28576.348089999996,62579.14227999999,121610.3172,176262.1852,495121.6222,0.45522799999999997,0.11944848,204975.0,0.115731187,0.027383827000000003,0.022500305,29121.055,39.2,0.032040359
